cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:12:09Z,1787217129,server,bench-seaweedfs,446.34,1298927616,4109217792,392526827,984716,44695552,147456
3,2026-08-20T09:12:10Z,1787217130,client,bench-warp,42.33,164532224,1073741824,2204464,551156299,62902272,0
3,2026-08-20T09:12:10Z,1787217130,server,bench-seaweedfs,592.75,2109276160,4109217792,569390735,2272062,44703744,147456
4,2026-08-20T09:12:11Z,1787217131,client,bench-warp,33.75,140627968,1073741824,2677790,679668031,62902272,0
4,2026-08-20T09:12:11Z,1787217131,server,bench-seaweedfs,590.27,2351525888,4109217792,679672199,2678982,44724224,406237184
5,2026-08-20T09:12:12Z,1787217132,client,bench-warp,145.36,183189504,1073741824,2885388,916402651,62902272,0
5,2026-08-20T09:12:12Z,1787217132,server,bench-seaweedfs,546.40,2432417792,4109217792,932888165,2904568,44855296,537329664
6,2026-08-20T09:12:13Z,1787217133,client,bench-warp,67.29,168288256,1073741824,4167142,1179667003,62902272,0
6,2026-08-20T09:12:13Z,1787217133,server,bench-seaweedfs,604.89,2435616768,4109217792,1182309235,4212418,44859392,766492672
7,2026-08-20T09:12:14Z,1787217134,client,bench-warp,56.30,159334400,1073741824,5014936,1367200159,62902272,0
7,2026-08-20T09:12:14Z,1787217134,server,bench-seaweedfs,570.35,2515746816,4109217792,1369263669,5046210,44892160,884019200
8,2026-08-20T09:12:15Z,1787217135,client,bench-warp,48.54,157265920,1073741824,5941030,1622958087,62902272,0
8,2026-08-20T09:12:15Z,1787217135,server,bench-seaweedfs,402.07,2505367552,4109217792,1625251867,5965432,44912640,1214746624
9,2026-08-20T09:12:16Z,1787217136,client,bench-warp,102.35,170745856,1073741824,8184790,1961524753,62902272,0
9,2026-08-20T09:12:16Z,1787217136,server,bench-seaweedfs,564.42,2557104128,4109217792,1962737057,8213046,44941312,1438310400
10,2026-08-20T09:12:17Z,1787217137,client,bench-warp,62.65,163545088,1073741824,10433106,2143227055,62902272,0
10,2026-08-20T09:12:17Z,1787217137,server,bench-seaweedfs,548.73,2841837568,4109217792,2149081127,10464706,44949504,1536389120
11,2026-08-20T09:12:18Z,1787217138,client,bench-warp,29.20,161562624,1073741824,10930818,2232706797,62902272,0
11,2026-08-20T09:12:18Z,1787217138,server,bench-seaweedfs,460.00,2891567104,4109217792,2234112861,10948388,44961792,1687556096
12,2026-08-20T09:12:19Z,1787217139,client,bench-warp,15.33,163782656,1073741824,11428822,2264176151,62902272,0
12,2026-08-20T09:12:19Z,1787217139,server,bench-seaweedfs,336.18,2920574976,4109217792,2264181033,11429748,44965888,1687556096
13,2026-08-20T09:12:20Z,1787217140,client,bench-warp,28.83,165715968,1073741824,12497544,2345039323,62902272,0
13,2026-08-20T09:12:20Z,1787217140,server,bench-seaweedfs,326.34,2910887936,4109217792,2345043227,12498404,44982272,1827942400
14,2026-08-20T09:12:21Z,1787217141,client,bench-warp,5.84,165945344,1073741824,12608656,2374123885,62902272,0
14,2026-08-20T09:12:21Z,1787217141,server,bench-seaweedfs,60.57,2961948672,4109217792,2374127789,12609782,44982272,1827942400
15,2026-08-20T09:12:22Z,1787217142,client,bench-warp,44.85,165552128,1073741824,13852590,2546579563,62902272,0
15,2026-08-20T09:12:22Z,1787217142,server,bench-seaweedfs,298.17,2983165952,4109217792,2546583467,13853450,45023232,2031902720
