cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T07:45:45Z,1787211945,server,bench-minio,111.44,197599232,2147483648,40551427,110541,0,159744
3,2026-08-20T07:45:46Z,1787211946,client,bench-warp,196.33,125292544,1073741824,207928,150751053,495616,0
3,2026-08-20T07:45:46Z,1787211946,server,bench-minio,426.71,354385920,2147483648,151222865,209259,0,159744
4,2026-08-20T07:45:47Z,1787211947,client,bench-warp,116.99,151007232,1073741824,314222,272232185,495616,0
4,2026-08-20T07:45:47Z,1787211947,server,bench-minio,535.93,459476992,2147483648,277919355,319198,0,46383104
5,2026-08-20T07:45:48Z,1787211948,client,bench-warp,40.07,135163904,1073741824,410780,390110213,495616,0
5,2026-08-20T07:45:48Z,1787211948,server,bench-minio,603.74,469946368,2147483648,397140653,416385,0,96792576
6,2026-08-20T07:45:49Z,1787211949,client,bench-warp,59.18,131866624,1073741824,483158,480335829,495616,0
6,2026-08-20T07:45:49Z,1787211949,server,bench-minio,424.20,479850496,2147483648,540487199,527722,0,305766400
7,2026-08-20T07:45:51Z,1787211951,client,bench-warp,48.23,125403136,1073741824,562331,578167315,495616,0
7,2026-08-20T07:45:51Z,1787211951,server,bench-minio,542.91,484634624,2147483648,587372677,569731,0,325734400
8,2026-08-20T07:45:52Z,1787211952,client,bench-warp,28.48,84406272,1073741824,636922,673686949,495616,0
8,2026-08-20T07:45:52Z,1787211952,server,bench-minio,395.88,481259520,2147483648,673688847,637283,0,671780864
9,2026-08-20T07:45:53Z,1787211953,client,bench-warp,85.92,92733440,1073741824,741334,702981575,495616,0
9,2026-08-20T07:45:53Z,1787211953,server,bench-minio,198.19,493457408,2147483648,707165425,746909,0,672071680
10,2026-08-20T07:45:54Z,1787211954,client,bench-warp,171.82,113340416,1073741824,1009547,1010413319,495616,0
10,2026-08-20T07:45:54Z,1787211954,server,bench-minio,574.93,535400448,2147483648,1023305661,1021866,0,756137984
11,2026-08-20T07:45:55Z,1787211955,client,bench-warp,121.68,114987008,1073741824,1210972,1275876619,495616,0
11,2026-08-20T07:45:55Z,1787211955,server,bench-minio,455.47,555331584,2147483648,1282411563,1216625,0,1241378816
12,2026-08-20T07:45:56Z,1787211956,client,bench-warp,23.22,92528640,1073741824,1256878,1340801445,495616,0
12,2026-08-20T07:45:56Z,1787211956,server,bench-minio,318.60,554266624,2147483648,1340804445,1257515,0,1261903872
13,2026-08-20T07:45:57Z,1787211957,client,bench-warp,12.90,87412736,1073741824,1300563,1347173887,495616,0
13,2026-08-20T07:45:57Z,1787211957,server,bench-minio,217.48,559222784,2147483648,1347175785,1311865,0,1344249856
14,2026-08-20T07:45:58Z,1787211958,client,bench-warp,133.73,170852352,1073741824,1575627,1564253629,495616,0
14,2026-08-20T07:45:58Z,1787211958,server,bench-minio,550.59,605024256,2147483648,1570749947,1584586,0,1369538560
15,2026-08-20T07:45:59Z,1787211959,client,bench-warp,85.98,165158912,1073741824,1643971,1619117221,495616,0
15,2026-08-20T07:45:59Z,1787211959,server,bench-minio,613.94,611045376,2147483648,1725467901,1733271,4096,1403129856
16,2026-08-20T07:46:00Z,1787211960,client,bench-warp,42.03,151023616,1073741824,1748348,1744549817,495616,0
16,2026-08-20T07:46:00Z,1787211960,server,bench-minio,528.80,611966976,2147483648,1749415223,1752003,4096,1523888128
17,2026-08-20T07:46:01Z,1787211961,client,bench-warp,63.15,147972096,1073741824,1828165,1822859843,495616,0
17,2026-08-20T07:46:01Z,1787211961,server,bench-minio,583.68,619696128,2147483648,1828888411,1837456,4096,1549152256
18,2026-08-20T07:46:03Z,1787211963,client,bench-warp,48.87,148320256,1073741824,1866137,1854808277,495616,0
18,2026-08-20T07:46:03Z,1787211963,server,bench-minio,573.15,623366144,2147483648,1856102725,1867446,4096,1549160448
19,2026-08-20T07:46:04Z,1787211964,client,bench-warp,28.33,135987200,1073741824,1932435,1919174681,495616,0
19,2026-08-20T07:46:04Z,1787211964,server,bench-minio,559.23,623747072,2147483648,1929240095,1941166,8192,1662189568
20,2026-08-20T07:46:06Z,1787211966,client,bench-warp,61.20,124289024,1073741824,1972449,1972146319,495616,0
20,2026-08-20T07:46:06Z,1787211966,server,bench-minio,568.64,622051328,2147483648,1988904673,1984636,12288,1854558208
21,2026-08-20T07:46:07Z,1787211967,client,bench-warp,38.77,95219712,1073741824,2007957,2020790069,495616,0
21,2026-08-20T07:46:07Z,1787211967,server,bench-minio,517.08,618369024,2147483648,2020791967,2008318,20480,1990606848
22,2026-08-20T07:46:08Z,1787211968,client,bench-warp,0.00,95219712,1073741824,2008089,2020790201,495616,0
22,2026-08-20T07:46:08Z,1787211968,server,bench-minio,47.47,620122112,2147483648,2020792099,2008450,24576,2015850496
23,2026-08-20T07:46:09Z,1787211969,client,bench-warp,61.00,96448512,1073741824,2083598,2023208223,495616,0
23,2026-08-20T07:46:09Z,1787211969,server,bench-minio,164.79,624422912,2147483648,2023803367,2085279,167936,2016198656
24,2026-08-20T07:46:10Z,1787211970,client,bench-warp,191.68,103268352,1073741824,2140877,2067091589,495616,0
24,2026-08-20T07:46:10Z,1787211970,server,bench-minio,343.49,630243328,2147483648,2069691489,2144682,167936,2028814336
25,2026-08-20T07:46:11Z,1787211971,client,bench-warp,168.92,148344832,1073741824,2307587,2234676583,495616,0
25,2026-08-20T07:46:11Z,1787211971,server,bench-minio,526.93,659447808,2147483648,2247439467,2317945,167936,2058256384
26,2026-08-20T07:46:12Z,1787211972,client,bench-warp,110.76,146333696,1073741824,2484926,2465993229,495616,0
26,2026-08-20T07:46:12Z,1787211972,server,bench-minio,589.36,790585344,2147483648,2478206201,2493861,176128,2163245056
27,2026-08-20T07:46:13Z,1787211973,client,bench-warp,44.66,87019520,1073741824,2644439,2691467837,495616,0
27,2026-08-20T07:46:13Z,1787211973,server,bench-minio,570.20,675172352,2147483648,2693372829,2646186,180224,2680156160
28,2026-08-20T07:46:14Z,1787211974,client,bench-warp,89.57,135393280,1073741824,2853208,2837241325,495616,0
28,2026-08-20T07:46:14Z,1787211974,server,bench-minio,354.82,710524928,2147483648,2862008357,2871499,675840,2721804288
29,2026-08-20T07:46:15Z,1787211975,client,bench-warp,98.61,137089024,1073741824,3132403,3211309331,495616,0
29,2026-08-20T07:46:15Z,1787211975,server,bench-minio,583.92,850313216,2147483648,3223494069,3141578,692224,3013210112
30,2026-08-20T07:46:16Z,1787211976,client,bench-warp,71.10,99749888,1073741824,3234315,3356902719,495616,0
30,2026-08-20T07:46:16Z,1787211976,server,bench-minio,589.57,732540928,2147483648,3360821679,3237616,696320,3292930048
31,2026-08-20T07:46:17Z,1787211977,client,bench-warp,40.96,104292352,1073741824,3391277,3437680426,495616,0
31,2026-08-20T07:46:17Z,1787211977,server,bench-minio,235.09,750624768,2147483648,3450297104,3402391,847872,3372818432
32,2026-08-20T07:46:18Z,1787211978,client,bench-warp,165.72,173043712,1073741824,3611350,3690632614,495616,0
32,2026-08-20T07:46:18Z,1787211978,server,bench-minio,522.08,891363328,2147483648,3710486342,3627800,851968,3435859968
33,2026-08-20T07:46:19Z,1787211979,client,bench-warp,67.16,177422336,1073741824,3640921,3723574976,495616,0
33,2026-08-20T07:46:19Z,1787211979,server,bench-minio,529.07,989900800,2147483648,3727053286,3644534,851968,3440058368
34,2026-08-20T07:46:20Z,1787211980,client,bench-warp,30.60,165986304,1073741824,3695056,3783081344,495616,0
34,2026-08-20T07:46:20Z,1787211980,server,bench-minio,548.31,797339648,2147483648,3805411012,3712463,856064,3685982208
35,2026-08-20T07:46:21Z,1787211981,client,bench-warp,92.51,130617344,1073741824,3818174,3943659757,495616,0
35,2026-08-20T07:46:21Z,1787211981,server,bench-minio,530.74,813649920,2147483648,3952258817,3824157,860160,3750244352
36,2026-08-20T07:46:22Z,1787211982,client,bench-warp,67.95,96776192,1073741824,3898391,4036126167,495616,0
36,2026-08-20T07:46:22Z,1787211982,server,bench-minio,541.29,802701312,2147483648,4041029202,3903013,929792,3977420800
37,2026-08-20T07:46:23Z,1787211983,client,bench-warp,7.60,93949952,1073741824,3904290,4041029044,495616,0
37,2026-08-20T07:46:23Z,1787211983,server,bench-minio,27.80,793985024,2147483648,4041030942,3904651,933888,4023595008
38,2026-08-20T07:46:24Z,1787211984,client,bench-warp,0.00,93949952,1073741824,3904290,4041029044,495616,0
38,2026-08-20T07:46:24Z,1787211984,server,bench-minio,29.29,790917120,2147483648,4041169699,3924959,933888,4032012288
39,2026-08-20T07:46:25Z,1787211985,client,bench-warp,164.01,105996288,1073741824,4001430,4077978120,495616,0
39,2026-08-20T07:46:25Z,1787211985,server,bench-minio,386.69,801566720,2147483648,4081316907,4007350,974848,4032167936
40,2026-08-20T07:46:26Z,1787211986,client,bench-warp,151.88,147484672,1073741824,4127076,4177227363,495616,0
40,2026-08-20T07:46:26Z,1787211986,server,bench-minio,504.87,826310656,2147483648,4180455743,4131548,974848,4040585216
41,2026-08-20T07:46:27Z,1787211987,client,bench-warp,174.38,164712448,1073741824,4194042,4246462864,495616,0
41,2026-08-20T07:46:27Z,1787211987,server,bench-minio,582.79,970563584,2147483648,4295397754,4232930,974848,4061585408
42,2026-08-20T07:46:28Z,1787211988,client,bench-warp,109.21,182697984,1073741824,4279942,4351852846,495616,0
