cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:16:10Z,1787217370,server,bench-minio,2.40,136249344,2147483648,5003,5313,146919424,28672
3,2026-08-20T09:16:11Z,1787217371,client,bench-warp,0.00,67563520,1073741824,4910,3147,40972288,0
3,2026-08-20T09:16:11Z,1787217371,server,bench-minio,0.04,136220672,2147483648,5045,5313,146919424,28672
4,2026-08-20T09:16:12Z,1787217372,client,bench-warp,0.00,67563520,1073741824,4952,3189,40972288,0
4,2026-08-20T09:16:12Z,1787217372,server,bench-minio,1.95,136314880,2147483648,5087,5313,146919424,28672
5,2026-08-20T09:16:13Z,1787217373,client,bench-warp,102.15,188203008,1073741824,310083,322387207,40972288,0
5,2026-08-20T09:16:13Z,1787217373,server,bench-minio,323.18,436301824,2147483648,337834121,322278,146919424,71598080
6,2026-08-20T09:16:14Z,1787217374,client,bench-warp,76.77,166543360,1073741824,666130,743881347,40972288,0
6,2026-08-20T09:16:14Z,1787217374,server,bench-minio,688.19,487870464,2147483648,747534527,671047,146919424,694632448
7,2026-08-20T09:16:15Z,1787217375,client,bench-warp,64.64,184864768,1073741824,923923,1043985589,40972288,0
7,2026-08-20T09:16:15Z,1787217375,server,bench-minio,610.50,527642624,2147483648,1047019305,926510,146919424,776192000
8,2026-08-20T09:16:16Z,1787217376,client,bench-warp,53.73,162295808,1073741824,1172759,1330957549,40972288,0
8,2026-08-20T09:16:16Z,1787217376,server,bench-minio,587.80,557285376,2147483648,1335289699,1177645,147050496,1087922176
9,2026-08-20T09:16:17Z,1787217377,client,bench-warp,74.55,180801536,1073741824,2959708,1680451755,41000960,0
9,2026-08-20T09:16:17Z,1787217377,server,bench-minio,601.66,609021952,2147483648,1697870699,3166987,147116032,1415487488
10,2026-08-20T09:16:18Z,1787217378,client,bench-warp,81.83,168595456,1073741824,5410211,2000167009,41000960,0
10,2026-08-20T09:16:18Z,1787217378,server,bench-minio,575.37,631209984,2147483648,2003465559,5417136,147234816,1810161664
11,2026-08-20T09:16:19Z,1787217379,client,bench-warp,103.17,178675712,1073741824,5734959,2379926091,41000960,0
11,2026-08-20T09:16:19Z,1787217379,server,bench-minio,595.86,665288704,2147483648,2401347869,5751612,147447808,2116730880
12,2026-08-20T09:16:20Z,1787217380,client,bench-warp,106.26,123863040,1073741824,6169184,2896844017,41000960,0
12,2026-08-20T09:16:20Z,1787217380,server,bench-minio,549.38,694972416,2147483648,2903698543,6174363,147697664,2878341120
13,2026-08-20T09:16:21Z,1787217381,client,bench-warp,117.34,136818688,1073741824,6797478,3639264719,41000960,0
13,2026-08-20T09:16:21Z,1787217381,server,bench-minio,548.21,738562048,2147483648,3648891721,6804265,147742720,3633807360
14,2026-08-20T09:16:22Z,1787217382,client,bench-warp,151.39,151519232,1073741824,7378490,4309027285,41000960,0
14,2026-08-20T09:16:22Z,1787217382,server,bench-minio,564.73,746393600,2147483648,4316086547,7384101,147894272,4189769728
15,2026-08-20T09:16:23Z,1787217383,client,bench-warp,132.70,182501376,1073741824,7813038,4774273907,41000960,0
15,2026-08-20T09:16:23Z,1787217383,server,bench-minio,466.93,755490816,2147483648,4779153825,7817498,148115456,4485214208
16,2026-08-20T09:16:24Z,1787217384,client,bench-warp,55.91,133259264,1073741824,8005884,5037865941,41000960,0
16,2026-08-20T09:16:24Z,1787217384,server,bench-minio,318.15,744071168,2147483648,5043641449,8019015,148131840,5030961152
17,2026-08-20T09:16:25Z,1787217385,client,bench-warp,167.34,200785920,1073741824,8467909,5528665689,41005056,0
17,2026-08-20T09:16:25Z,1787217385,server,bench-minio,530.42,758087680,2147483648,5548364129,8482400,148148224,5473742848
18,2026-08-20T09:16:26Z,1787217386,client,bench-warp,50.21,136491008,1073741824,8619296,5747239175,41005056,0
18,2026-08-20T09:16:26Z,1787217386,server,bench-minio,298.63,746147840,2147483648,5747241073,8619657,148185088,5739937792
19,2026-08-20T09:16:27Z,1787217387,client,bench-warp,114.27,136601600,1073741824,9216012,6420443452,41005056,0
19,2026-08-20T09:16:27Z,1787217387,server,bench-minio,392.80,756269056,2147483648,6420445350,9216373,148213760,6413443072
