cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:17:34Z,1787217454,server,bench-minio,269.32,295018496,2147483648,5561467,1732001,79814656,11427840
3,2026-08-20T09:17:35Z,1787217455,client,bench-warp,70.51,53735424,1073741824,4352987,13951888,487424,0
3,2026-08-20T09:17:35Z,1787217455,server,bench-minio,290.54,333799424,2147483648,13989370,4365855,81534976,28844032
4,2026-08-20T09:17:36Z,1787217456,client,bench-warp,69.05,58662912,1073741824,6650894,21296693,487424,0
4,2026-08-20T09:17:36Z,1787217456,server,bench-minio,301.70,347922432,2147483648,21318361,6658419,83132416,44036096
5,2026-08-20T09:17:37Z,1787217457,client,bench-warp,74.36,65482752,1073741824,9038322,28928833,487424,0
5,2026-08-20T09:17:37Z,1787217457,server,bench-minio,275.36,360116224,2147483648,28968699,9049909,84758528,59838464
6,2026-08-20T09:17:38Z,1787217458,client,bench-warp,69.95,71016448,1073741824,11592097,37095317,487424,0
6,2026-08-20T09:17:38Z,1787217458,server,bench-minio,287.63,373530624,2147483648,37130847,11602783,87044096,76730368
7,2026-08-20T09:17:39Z,1787217459,client,bench-warp,21.07,63483904,1073741824,12398428,39618235,487424,0
7,2026-08-20T09:17:39Z,1787217459,server,bench-minio,99.73,375746560,2147483648,39620133,12398789,87511040,81952768
8,2026-08-20T09:17:40Z,1787217460,client,bench-warp,0.06,63483904,1073741824,12398428,39618235,487424,0
8,2026-08-20T09:17:40Z,1787217460,server,bench-minio,1.02,375726080,2147483648,39620133,12398789,87511040,81952768
9,2026-08-20T09:17:41Z,1787217461,client,bench-warp,0.00,63483904,1073741824,12398428,39618235,487424,0
9,2026-08-20T09:17:41Z,1787217461,server,bench-minio,0.00,375726080,2147483648,39620133,12398789,87511040,81952768
10,2026-08-20T09:17:42Z,1787217462,client,bench-warp,64.44,69300224,1073741824,24131802,39955334,487424,0
10,2026-08-20T09:17:42Z,1787217462,server,bench-minio,185.46,534925312,2147483648,39961287,24240631,87511040,81952768
11,2026-08-20T09:17:43Z,1787217463,client,bench-warp,80.58,64659456,1073741824,42887550,40453015,487424,0
11,2026-08-20T09:17:43Z,1787217463,server,bench-minio,261.83,698626048,2147483648,40458523,43007255,87511040,81952768
12,2026-08-20T09:17:44Z,1787217464,client,bench-warp,147.31,67702784,1073741824,78769778,41411169,487424,0
12,2026-08-20T09:17:44Z,1787217464,server,bench-minio,326.48,724684800,2147483648,41416797,78987085,87511040,81952768
13,2026-08-20T09:17:45Z,1787217465,client,bench-warp,160.53,76742656,1073741824,111594825,42282573,487424,0
13,2026-08-20T09:17:45Z,1787217465,server,bench-minio,330.56,729096192,2147483648,42285973,111605007,87511040,81952768
14,2026-08-20T09:17:46Z,1787217466,client,bench-warp,150.68,77406208,1073741824,146392612,43209587,487424,0
14,2026-08-20T09:17:46Z,1787217466,server,bench-minio,322.23,727691264,2147483648,43213990,146480360,87511040,81952768
15,2026-08-20T09:17:47Z,1787217467,client,bench-warp,140.76,77938688,1073741824,176050505,43998657,487424,0
