ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-08-20T05:28:35Z,1787203715,server,bench-minio,233.45,222543872,2147483648,32663823,58943,75354112,6356992
2026-08-20T05:28:36Z,1787203716,client,bench-warp,41.15,55095296,1073741824,148008,88870688,,
2026-08-20T05:28:36Z,1787203716,server,bench-minio,583.39,256466944,2147483648,88872744,148637,75354112,71843840
2026-08-20T05:28:38Z,1787203718,client,bench-warp,26.19,54046720,1073741824,237258,141714052,,
2026-08-20T05:28:38Z,1787203718,server,bench-minio,473.24,286748672,2147483648,142123303,238585,75354112,114155520
2026-08-20T05:28:38Z,1787203718,client,bench-warp,21.68,52228096,1073741824,289153,171088812,,
2026-08-20T05:28:38Z,1787203718,server,bench-minio,619.52,292130816,2147483648,171090868,289688,75354112,138465280
2026-08-20T05:28:39Z,1787203719,client,bench-warp,6.43,51445760,1073741824,317824,187524475,,
2026-08-20T05:28:39Z,1787203719,server,bench-minio,591.92,294555648,2147483648,187927318,319296,75354112,157478912
2026-08-20T05:28:40Z,1787203720,client,bench-warp,26.00,52310016,1073741824,383842,222266432,,
2026-08-20T05:28:40Z,1787203720,server,bench-minio,586.63,302358528,2147483648,224101401,391156,75354112,201867264
2026-08-20T05:28:41Z,1787203721,client,bench-warp,47.88,54898688,1073741824,444226,255699195,,
2026-08-20T05:28:41Z,1787203721,server,bench-minio,567.59,301387776,2147483648,260175462,451934,75354112,229339136
2026-08-20T05:28:42Z,1787203722,client,bench-warp,21.51,53170176,1073741824,499900,284124158,,
2026-08-20T05:28:42Z,1787203722,server,bench-minio,515.41,305946624,2147483648,291686925,514310,75354112,285327360
2026-08-20T05:28:43Z,1787203723,client,bench-warp,92.41,59564032,1073741824,763087,466285259,,
2026-08-20T05:28:43Z,1787203723,server,bench-minio,560.80,352251904,2147483648,466690193,764319,75354112,457568256
2026-08-20T05:28:44Z,1787203724,client,bench-warp,43.69,58372096,1073741824,930027,573381847,,
2026-08-20T05:28:44Z,1787203724,server,bench-minio,600.08,373149696,2147483648,579237347,939393,75354112,555876352
2026-08-20T05:28:45Z,1787203725,client,bench-warp,8.58,56414208,1073741824,970435,597518785,,
