cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:28:28Z,1787218108,server,bench-minio,243.71,255258624,2147483648,12684050,1547518,0,20434944
3,2026-08-20T09:28:29Z,1787218109,client,bench-warp,60.84,61272064,1073741824,3715415,30375909,614400,0
3,2026-08-20T09:28:29Z,1787218109,server,bench-minio,304.58,319614976,2147483648,30499403,3731186,0,49311744
4,2026-08-20T09:28:30Z,1787218110,client,bench-warp,67.67,63926272,1073741824,6031785,49273387,614400,0
4,2026-08-20T09:28:30Z,1787218110,server,bench-minio,319.96,336875520,2147483648,49295737,6035276,0,79892480
5,2026-08-20T09:28:31Z,1787218111,client,bench-warp,70.31,64188416,1073741824,8277106,67590281,614400,0
5,2026-08-20T09:28:31Z,1787218111,server,bench-minio,318.08,350318592,2147483648,67733819,8294793,0,109744128
6,2026-08-20T09:28:32Z,1787218112,client,bench-warp,67.99,63848448,1073741824,10549394,86129871,614400,0
6,2026-08-20T09:28:32Z,1787218112,server,bench-minio,317.41,364359680,2147483648,86197671,10560825,0,139685888
7,2026-08-20T09:28:33Z,1787218113,client,bench-warp,60.77,60641280,1073741824,12389881,101006569,614400,0
7,2026-08-20T09:28:33Z,1787218113,server,bench-minio,334.36,375074816,2147483648,101039349,12393595,0,163827712
8,2026-08-20T09:28:34Z,1787218114,client,bench-warp,1.07,60112896,1073741824,12396624,101057653,614400,0
8,2026-08-20T09:28:34Z,1787218114,server,bench-minio,0.55,374292480,2147483648,101059809,12397177,0,163868672
9,2026-08-20T09:28:35Z,1787218115,client,bench-warp,0.07,59981824,1073741824,12396624,101057653,614400,0
9,2026-08-20T09:28:35Z,1787218115,server,bench-minio,1.79,374292480,2147483648,101059809,12397177,0,163868672
10,2026-08-20T09:28:36Z,1787218116,client,bench-warp,0.82,59981824,1073741824,12396624,101059862,614400,0
10,2026-08-20T09:28:36Z,1787218116,server,bench-minio,6.55,374837248,2147483648,101069752,12397177,0,163868672
11,2026-08-20T09:28:37Z,1787218117,client,bench-warp,105.94,62816256,1073741824,28895178,109400798,614400,0
11,2026-08-20T09:28:37Z,1787218117,server,bench-minio,434.04,403832832,2147483648,109452031,29009420,0,172056576
12,2026-08-20T09:28:38Z,1787218118,client,bench-warp,120.40,64208896,1073741824,43976593,116970782,614400,0
12,2026-08-20T09:28:38Z,1787218118,server,bench-minio,397.88,415821824,2147483648,117013308,44067363,0,180948992
13,2026-08-20T09:28:39Z,1787218119,client,bench-warp,89.90,74088448,1073741824,60414084,125261616,614400,0
13,2026-08-20T09:28:39Z,1787218119,server,bench-minio,330.02,418467840,2147483648,125311644,60511958,0,199016448
14,2026-08-20T09:28:40Z,1787218120,client,bench-warp,96.97,85905408,1073741824,80096453,135132324,614400,0
14,2026-08-20T09:28:40Z,1787218120,server,bench-minio,340.42,421982208,2147483648,135248873,80280007,0,220598272
15,2026-08-20T09:28:41Z,1787218121,client,bench-warp,91.53,86806528,1073741824,96274383,143256321,614400,0
15,2026-08-20T09:28:41Z,1787218121,server,bench-minio,339.63,425185280,2147483648,143270470,96297405,0,238505984
16,2026-08-20T09:28:42Z,1787218122,client,bench-warp,94.35,96006144,1073741824,114475371,152439810,614400,0
16,2026-08-20T09:28:42Z,1787218122,server,bench-minio,340.77,428290048,2147483648,152490370,114628234,0,258531328
17,2026-08-20T09:28:43Z,1787218123,client,bench-warp,87.89,88203264,1073741824,129974518,160182188,614400,0
17,2026-08-20T09:28:43Z,1787218123,server,bench-minio,321.54,431087616,2147483648,160225179,130027447,0,275935232
