cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T07:48:15Z,1787212095,server,bench-minio,56.58,149680128,2147483648,13657447,37629,77430784,2244608
3,2026-08-20T07:48:16Z,1787212096,client,bench-warp,71.74,50970624,1073741824,52348,24390439,4096,0
3,2026-08-20T07:48:16Z,1787212096,server,bench-minio,195.38,268984320,2147483648,24392337,52841,77430784,4374528
4,2026-08-20T07:48:17Z,1787212097,client,bench-warp,0.40,40808448,1073741824,66364,35240405,4096,0
4,2026-08-20T07:48:17Z,1787212097,server,bench-minio,409.00,429117440,2147483648,35522018,68004,77430784,22056960
5,2026-08-20T07:48:18Z,1787212098,client,bench-warp,88.07,56352768,1073741824,186573,106721324,4096,0
5,2026-08-20T07:48:18Z,1787212098,server,bench-minio,484.19,513208320,2147483648,109784760,190890,77434880,141721600
6,2026-08-20T07:48:19Z,1787212099,client,bench-warp,81.95,58494976,1073741824,371124,232626359,4096,0
6,2026-08-20T07:48:19Z,1787212099,server,bench-minio,433.77,552103936,2147483648,236275195,378300,77815808,312807424
7,2026-08-20T07:48:20Z,1787212100,client,bench-warp,58.68,62369792,1073741824,559600,354975291,4096,0
7,2026-08-20T07:48:20Z,1787212100,server,bench-minio,472.05,584265728,2147483648,356247907,561491,78073856,473387008
8,2026-08-20T07:48:21Z,1787212101,client,bench-warp,42.60,59879424,1073741824,711014,451582689,4096,0
8,2026-08-20T07:48:21Z,1787212101,server,bench-minio,494.38,614776832,2147483648,458156091,727209,78487552,608702464
9,2026-08-20T07:48:22Z,1787212102,client,bench-warp,47.22,64536576,1073741824,928032,589008945,4096,0
9,2026-08-20T07:48:22Z,1787212102,server,bench-minio,537.57,652525568,2147483648,593471769,935879,78802944,792784896
10,2026-08-20T07:48:23Z,1787212103,client,bench-warp,21.94,66625536,1073741824,1003971,635341269,4096,0
10,2026-08-20T07:48:23Z,1787212103,server,bench-minio,511.80,666947584,2147483648,637252333,1009124,78958592,853749760
11,2026-08-20T07:48:24Z,1787212104,client,bench-warp,22.19,63385600,1073741824,1104172,697895059,4096,0
11,2026-08-20T07:48:24Z,1787212104,server,bench-minio,473.85,681512960,2147483648,699496735,1105853,79175680,940142592
12,2026-08-20T07:48:25Z,1787212105,client,bench-warp,35.55,71380992,1073741824,1189245,746889307,4096,0
12,2026-08-20T07:48:25Z,1787212105,server,bench-minio,488.18,698413056,2147483648,750509313,1194425,79433728,1001369600
13,2026-08-20T07:48:26Z,1787212106,client,bench-warp,20.39,62545920,1073741824,1281706,804851029,4096,0
13,2026-08-20T07:48:26Z,1787212106,server,bench-minio,471.12,712200192,2147483648,806782301,1285970,79560704,1081704448
14,2026-08-20T07:48:27Z,1787212107,client,bench-warp,13.47,64344064,1073741824,1346679,842002059,4096,0
14,2026-08-20T07:48:27Z,1787212107,server,bench-minio,276.15,726073344,2147483648,845301841,1354383,79753216,1128906752
15,2026-08-20T07:48:28Z,1787212108,client,bench-warp,48.26,65474560,1073741824,1446991,898999849,4096,0
15,2026-08-20T07:48:28Z,1787212108,server,bench-minio,449.63,745164800,2147483648,904801855,1457121,79880192,1209495552
16,2026-08-20T07:48:29Z,1787212109,client,bench-warp,71.93,67665920,1073741824,1562220,973795267,4096,0
16,2026-08-20T07:48:29Z,1787212109,server,bench-minio,493.21,763572224,2147483648,978372467,1568211,80261120,1305628672
17,2026-08-20T07:48:30Z,1787212110,client,bench-warp,57.58,69181440,1073741824,1720352,1075681735,4096,0
17,2026-08-20T07:48:30Z,1787212110,server,bench-minio,482.13,794333184,2147483648,1080777287,1727608,80584704,1445257216
18,2026-08-20T07:48:31Z,1787212111,client,bench-warp,68.67,64827392,1073741824,1843206,1149512663,4096,0
18,2026-08-20T07:48:31Z,1787212111,server,bench-minio,468.08,818323456,2147483648,1163473905,1860563,80867328,1557630976
19,2026-08-20T07:48:32Z,1787212112,client,bench-warp,58.55,68276224,1073741824,2043599,1284957845,4096,0
19,2026-08-20T07:48:32Z,1787212112,server,bench-minio,497.10,852631552,2147483648,1288842593,2049644,81342464,1730826240
20,2026-08-20T07:48:33Z,1787212113,client,bench-warp,66.22,68014080,1073741824,2085354,1309467337,4096,0
20,2026-08-20T07:48:33Z,1787212113,server,bench-minio,477.04,860676096,2147483648,1315748901,2097937,81457152,1764638720
21,2026-08-20T07:48:34Z,1787212114,client,bench-warp,66.40,63467520,1073741824,2180257,1366233789,4096,0
21,2026-08-20T07:48:34Z,1787212114,server,bench-minio,463.67,869437440,2147483648,1366235687,2180618,81575936,1848459264
22,2026-08-20T07:48:35Z,1787212115,client,bench-warp,93.43,63983616,1073741824,2354586,1466086691,4096,0
22,2026-08-20T07:48:35Z,1787212115,server,bench-minio,470.52,889982976,2147483648,1472316597,2362581,81580032,1979850752
23,2026-08-20T07:48:36Z,1787212116,client,bench-warp,38.36,65458176,1073741824,2392107,1486416795,4096,0
23,2026-08-20T07:48:36Z,1787212116,server,bench-minio,418.97,891654144,2147483648,1490706919,2401135,81580032,2004787200
24,2026-08-20T07:48:37Z,1787212117,client,bench-warp,69.13,68448256,1073741824,2529883,1561690905,4096,0
24,2026-08-20T07:48:37Z,1787212117,server,bench-minio,406.03,890769408,2147483648,1568242335,2539805,81588224,2112462848
