cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:19:38Z,1787217578,server,bench-minio,1.47,75444224,2147483648,5003,5313,0,114688
3,2026-08-20T09:19:39Z,1787217579,client,bench-warp,0.00,26673152,1073741824,4820,3147,561152,0
3,2026-08-20T09:19:39Z,1787217579,server,bench-minio,1.91,75444224,2147483648,5045,5313,0,114688
4,2026-08-20T09:19:40Z,1787217580,client,bench-warp,0.00,26673152,1073741824,4952,3189,561152,0
4,2026-08-20T09:19:40Z,1787217580,server,bench-minio,0.00,75444224,2147483648,5087,5313,0,114688
5,2026-08-20T09:19:41Z,1787217581,client,bench-warp,70.64,75796480,1073741824,288558,316232611,561152,0
5,2026-08-20T09:19:41Z,1787217581,server,bench-minio,280.67,571052032,2147483648,328468691,299008,0,379437056
6,2026-08-20T09:19:42Z,1787217582,client,bench-warp,83.44,62603264,1073741824,684731,833064921,561152,0
6,2026-08-20T09:19:42Z,1787217582,server,bench-minio,299.33,616280064,2147483648,833066819,685092,0,1092964352
7,2026-08-20T09:19:43Z,1787217583,client,bench-warp,46.07,62685184,1073741824,918117,1119148507,561152,0
7,2026-08-20T09:19:43Z,1787217583,server,bench-minio,197.48,621936640,2147483648,1119150405,918478,0,1457786880
8,2026-08-20T09:19:44Z,1787217584,client,bench-warp,90.68,66818048,1073741824,1349797,1657658563,561152,0
8,2026-08-20T09:19:44Z,1787217584,server,bench-minio,397.67,640499712,2147483648,1657660461,1350158,0,2176278528
9,2026-08-20T09:19:45Z,1787217585,client,bench-warp,42.19,68435968,1073741824,1580861,1943729217,561152,0
9,2026-08-20T09:19:45Z,1787217585,server,bench-minio,175.59,670068736,2147483648,1943731115,1581222,0,2585243648
10,2026-08-20T09:19:46Z,1787217586,client,bench-warp,41.11,71548928,1073741824,1819102,2238213559,561152,0
10,2026-08-20T09:19:46Z,1787217586,server,bench-minio,100.27,695169024,2147483648,2238215457,1819463,0,2899058688
11,2026-08-20T09:19:47Z,1787217587,client,bench-warp,53.76,72044544,1073741824,2067711,2532727779,561152,0
11,2026-08-20T09:19:47Z,1787217587,server,bench-minio,308.33,727662592,2147483648,2532729677,2068072,0,3370618880
12,2026-08-20T09:19:48Z,1787217588,client,bench-warp,58.61,74403840,1073741824,2296314,2810399193,561152,0
12,2026-08-20T09:19:48Z,1787217588,server,bench-minio,157.03,749891584,2147483648,2810401091,2296675,0,3647143936
13,2026-08-20T09:19:49Z,1787217589,client,bench-warp,76.35,70422528,1073741824,2668116,3264742216,561152,0
13,2026-08-20T09:19:49Z,1787217589,server,bench-minio,348.81,795000832,2147483648,3264744114,2668477,0,4318355456
14,2026-08-20T09:19:50Z,1787217590,client,bench-warp,20.36,85012480,1073741824,2744387,3344525494,561152,0
14,2026-08-20T09:19:50Z,1787217590,server,bench-minio,94.75,815861760,2147483648,3357359270,2760703,0,4436680704
15,2026-08-20T09:19:51Z,1787217591,client,bench-warp,111.81,71737344,1073741824,3253489,4005192614,561152,0
15,2026-08-20T09:19:51Z,1787217591,server,bench-minio,240.13,868433920,2147483648,4005194512,3253850,0,5265154048
16,2026-08-20T09:19:52Z,1787217592,client,bench-warp,52.22,93691904,1073741824,3436574,4200948886,561152,0
16,2026-08-20T09:19:52Z,1787217592,server,bench-minio,417.98,900337664,2147483648,4210002088,3445705,0,5568229376
17,2026-08-20T09:19:53Z,1787217593,client,bench-warp,66.52,63037440,1073741824,3814163,4653140619,561152,0
17,2026-08-20T09:19:53Z,1787217593,server,bench-minio,227.76,956194816,2147483648,4653142517,3814524,0,6129836032
18,2026-08-20T09:19:54Z,1787217594,client,bench-warp,79.69,100093952,1073741824,4201430,5113486717,561152,0
18,2026-08-20T09:19:54Z,1787217594,server,bench-minio,328.22,1010561024,2147483648,5128481879,4212623,0,6750642176
19,2026-08-20T09:19:55Z,1787217595,client,bench-warp,31.90,69054464,1073741824,4391958,5368331785,561152,0
19,2026-08-20T09:19:55Z,1787217595,server,bench-minio,132.18,1030635520,2147483648,5370492329,4397105,0,7151214592
20,2026-08-20T09:19:56Z,1787217596,client,bench-warp,99.77,86913024,1073741824,4861428,5953423973,561152,0
20,2026-08-20T09:19:56Z,1787217596,server,bench-minio,393.42,1054162944,2147483648,5958797859,4865617,0,7892828160
21,2026-08-20T09:19:57Z,1787217597,client,bench-warp,46.24,72314880,1073741824,5114849,6268649003,561152,0
21,2026-08-20T09:19:57Z,1787217597,server,bench-minio,175.34,1053093888,2147483648,6268650901,5115210,0,8344514560
22,2026-08-20T09:19:58Z,1787217598,client,bench-warp,92.51,74158080,1073741824,5550939,6807183349,561152,0
22,2026-08-20T09:19:58Z,1787217598,server,bench-minio,381.30,1054093312,2147483648,6807185247,5551300,0,8969592832
23,2026-08-20T09:19:59Z,1787217599,client,bench-warp,55.78,90836992,1073741824,5871859,7178161837,561152,0
23,2026-08-20T09:19:59Z,1787217599,server,bench-minio,213.46,1061093376,2147483648,7192510429,5882366,0,9486254080
24,2026-08-20T09:20:00Z,1787217600,client,bench-warp,60.59,74256384,1073741824,6223487,7631767362,561152,0
24,2026-08-20T09:20:00Z,1787217600,server,bench-minio,220.93,1056841728,2147483648,7631769260,6223848,0,10165649408
25,2026-08-20T09:20:01Z,1787217601,client,bench-warp,59.59,121311232,1073741824,6573778,8049023992,561152,0
