cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:52:39Z,1787219559,server,bench-rustfs,440.30,228569088,2147483648,228490637,234651,884736,208523264
3,2026-08-20T09:52:40Z,1787219560,client,bench-warp,95.13,67444736,1073741824,459554,456851407,114688,0
3,2026-08-20T09:52:40Z,1787219560,server,bench-rustfs,571.13,243658752,2147483648,458009768,464109,884736,425373696
4,2026-08-20T09:52:41Z,1787219561,client,bench-warp,81.07,63692800,1073741824,597915,580483706,114688,0
4,2026-08-20T09:52:41Z,1787219561,server,bench-rustfs,574.03,254054400,2147483648,588685806,607926,884736,566431744
5,2026-08-20T09:52:42Z,1787219562,client,bench-warp,100.39,63463424,1073741824,831876,802692081,114688,0
5,2026-08-20T09:52:42Z,1787219562,server,bench-rustfs,571.99,250503168,2147483648,812349366,847551,884736,795914240
6,2026-08-20T09:52:43Z,1787219563,client,bench-warp,77.68,65814528,1073741824,953871,879074766,114688,0
6,2026-08-20T09:52:43Z,1787219563,server,bench-rustfs,225.59,239579136,2147483648,882496691,961902,884736,864337920
7,2026-08-20T09:52:49Z,1787219569,client,bench-warp,75.00,66473984,1073741824,983985,893863550,114688,0
7,2026-08-20T09:52:49Z,1787219569,server,bench-rustfs,339.16,244768768,2147483648,899801445,996462,884736,889602048
8,2026-08-20T09:52:50Z,1787219570,client,bench-warp,98.88,69713920,1073741824,1091598,986634744,114688,0
8,2026-08-20T09:52:50Z,1787219570,server,bench-rustfs,595.45,292208640,2147483648,987241335,1096542,884736,967499776
9,2026-08-20T09:52:51Z,1787219571,client,bench-warp,53.23,63725568,1073741824,1224876,1093027248,114688,0
9,2026-08-20T09:52:51Z,1787219571,server,bench-rustfs,602.55,267423744,2147483648,1096130110,1230741,884736,1076977664
10,2026-08-20T09:52:52Z,1787219572,client,bench-warp,29.84,61837312,1073741824,1331514,1176756140,114688,0
10,2026-08-20T09:52:52Z,1787219572,server,bench-rustfs,580.64,295501824,2147483648,1182453947,1341999,884736,1155928064
11,2026-08-20T09:52:53Z,1787219573,client,bench-warp,47.01,61702144,1073741824,1464657,1278791831,114688,0
11,2026-08-20T09:52:53Z,1787219573,server,bench-rustfs,562.93,296710144,2147483648,1282463159,1471236,884736,1265405952
12,2026-08-20T09:52:54Z,1787219574,client,bench-warp,71.10,67104768,1073741824,1696233,1481998907,114688,0
12,2026-08-20T09:52:54Z,1787219574,server,bench-rustfs,548.15,297582592,2147483648,1484096137,1702047,884736,1468571648
13,2026-08-20T09:52:55Z,1787219575,client,bench-warp,64.93,65355776,1073741824,1879725,1649954552,114688,0
13,2026-08-20T09:52:55Z,1787219575,server,bench-rustfs,490.73,303652864,2147483648,1661089823,1897530,884736,1649631232
14,2026-08-20T09:52:56Z,1787219576,client,bench-warp,39.63,66015232,1073741824,1947138,1700401783,114688,0
14,2026-08-20T09:52:56Z,1787219576,server,bench-rustfs,526.20,300675072,2147483648,1700413096,1950285,884736,1666473984
15,2026-08-20T09:52:57Z,1787219577,client,bench-warp,28.96,62316544,1073741824,2014914,1746721609,114688,0
15,2026-08-20T09:52:57Z,1787219577,server,bench-rustfs,590.27,329789440,2147483648,1747851714,2019831,884736,1722265600
16,2026-08-20T09:52:58Z,1787219578,client,bench-warp,24.15,61435904,1073741824,2117739,1824949731,114688,0
16,2026-08-20T09:52:58Z,1787219578,server,bench-rustfs,583.90,343162880,2147483648,1825692690,2121756,884736,1806479360
17,2026-08-20T09:52:59Z,1787219579,client,bench-warp,64.38,64020480,1073741824,2222217,1908869016,114688,0
17,2026-08-20T09:52:59Z,1787219579,server,bench-rustfs,558.60,333398016,2147483648,1909012384,2226420,884736,1897009152
18,2026-08-20T09:53:00Z,1787219580,client,bench-warp,98.09,65511424,1073741824,2335077,1997307606,114688,0
18,2026-08-20T09:53:00Z,1787219580,server,bench-rustfs,544.10,331112448,2147483648,1997907632,2340327,884736,1974906880
19,2026-08-20T09:53:01Z,1787219581,client,bench-warp,61.98,66084864,1073741824,2476749,2122582307,114688,0
19,2026-08-20T09:53:01Z,1787219581,server,bench-rustfs,477.54,326561792,2147483648,2122593620,2479896,884736,2122280960
20,2026-08-20T09:53:02Z,1787219582,client,bench-warp,4.45,65310720,1073741824,2476749,2122582307,114688,0
20,2026-08-20T09:53:02Z,1787219582,server,bench-rustfs,28.51,289144832,2147483648,2122593620,2479896,884736,2122280960
21,2026-08-20T09:53:03Z,1787219583,client,bench-warp,0.00,65310720,1073741824,2476749,2122582307,114688,0
21,2026-08-20T09:53:03Z,1787219583,server,bench-rustfs,27.04,289013760,2147483648,2122593620,2479896,884736,2122280960
22,2026-08-20T09:53:04Z,1787219584,client,bench-warp,30.36,65769472,1073741824,2493255,2124472978,114688,0
22,2026-08-20T09:53:04Z,1787219584,server,bench-rustfs,329.46,311881728,2147483648,2125052558,2498751,2113536,2122977280
23,2026-08-20T09:53:11Z,1787219591,client,bench-warp,14.11,64634880,1073741824,4621302,2125778230,114688,0
