cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T09:50:02Z,1787219402,server,bench-rustfs,207.80,222388224,2147483648,1413945,114010,83185664,94208
3,2026-08-20T09:50:03Z,1787219403,client,bench-warp,52.83,59604992,1073741824,584961,8038699,4096,0
3,2026-08-20T09:50:03Z,1787219403,server,bench-rustfs,556.90,236290048,2147483648,8134762,594223,83185664,94208
4,2026-08-20T09:50:04Z,1787219404,client,bench-warp,66.94,64188416,1073741824,1024359,14006466,4096,0
4,2026-08-20T09:50:04Z,1787219404,server,bench-rustfs,483.90,244015104,2147483648,14273118,1036828,83185664,94208
5,2026-08-20T09:50:05Z,1787219405,client,bench-warp,82.93,67784704,1073741824,1314876,18117501,4096,0
5,2026-08-20T09:50:05Z,1787219405,server,bench-rustfs,560.88,252293120,2147483648,18189159,1322326,83185664,94208
6,2026-08-20T09:50:06Z,1787219406,client,bench-warp,68.01,66146304,1073741824,1854696,25742081,4096,0
6,2026-08-20T09:50:06Z,1787219406,server,bench-rustfs,525.93,262983680,2147483648,25843887,1863799,83185664,94208
7,2026-08-20T09:50:07Z,1787219407,client,bench-warp,69.43,68177920,1073741824,2404899,33519516,4096,0
7,2026-08-20T09:50:07Z,1787219407,server,bench-rustfs,526.28,274620416,2147483648,33636481,2415061,83410944,94208
8,2026-08-20T09:50:08Z,1787219408,client,bench-warp,66.94,66428928,1073741824,2958471,41310708,4096,0
8,2026-08-20T09:50:08Z,1787219408,server,bench-rustfs,509.58,290390016,2147483648,41412966,2965006,83410944,94208
9,2026-08-20T09:50:09Z,1787219409,client,bench-warp,69.97,68329472,1073741824,3555774,49760998,4096,0
9,2026-08-20T09:50:09Z,1787219409,server,bench-rustfs,546.37,296984576,2147483648,49802206,3560659,83410944,94208
10,2026-08-20T09:50:10Z,1787219410,client,bench-warp,67.12,68440064,1073741824,4098357,57432884,4096,0
10,2026-08-20T09:50:10Z,1787219410,server,bench-rustfs,533.59,307159040,2147483648,57499339,4105225,83410944,94208
11,2026-08-20T09:50:11Z,1787219411,client,bench-warp,79.11,69828608,1073741824,4501563,62902728,4096,0
11,2026-08-20T09:50:11Z,1787219411,server,bench-rustfs,500.09,314302464,2147483648,62913630,4504108,83410944,94208
12,2026-08-20T09:50:12Z,1787219412,client,bench-warp,36.93,70098944,1073741824,4544976,63389691,4096,0
12,2026-08-20T09:50:12Z,1787219412,server,bench-rustfs,393.78,315150336,2147483648,63532999,4558555,83410944,94208
13,2026-08-20T09:50:13Z,1787219413,client,bench-warp,65.95,72396800,1073741824,4909626,68227673,4096,0
13,2026-08-20T09:50:13Z,1787219413,server,bench-rustfs,521.12,323940352,2147483648,68258819,4916125,83410944,94208
14,2026-08-20T09:50:14Z,1787219414,client,bench-warp,71.10,68939776,1073741824,5396895,75179881,4096,0
14,2026-08-20T09:50:14Z,1787219414,server,bench-rustfs,526.73,336740352,2147483648,75281539,5405827,83410944,94208
15,2026-08-20T09:50:15Z,1787219415,client,bench-warp,61.31,66736128,1073741824,5879883,81988152,4096,0
15,2026-08-20T09:50:15Z,1787219415,server,bench-rustfs,517.38,344797184,2147483648,82095153,5889541,83410944,94208
16,2026-08-20T09:50:16Z,1787219416,client,bench-warp,63.12,69951488,1073741824,6385149,89103124,4096,0
16,2026-08-20T09:50:16Z,1787219416,server,bench-rustfs,549.06,350441472,2147483648,89164676,6390457,83410944,94208
