cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:20:32Z,1787214032,server,bench-rustfs,328.88,341987328,2147483648,149664745,168172,2818048,12144640
3,2026-08-20T08:20:33Z,1787214033,client,bench-warp,65.84,144465920,1073741824,256045,281970416,483328,0
3,2026-08-20T08:20:33Z,1787214033,server,bench-rustfs,601.54,390660096,2147483648,285868067,258238,2818048,29081600
4,2026-08-20T08:20:34Z,1787214034,client,bench-warp,21.27,132968448,1073741824,314161,362342176,483328,0
4,2026-08-20T08:20:34Z,1787214034,server,bench-rustfs,601.56,412823552,2147483648,362343983,314218,2818048,338333696
5,2026-08-20T08:20:35Z,1787214035,client,bench-warp,30.70,137895936,1073741824,370531,449999038,483328,0
5,2026-08-20T08:20:35Z,1787214035,server,bench-rustfs,596.29,427175936,2147483648,450701439,370942,2830336,338382848
6,2026-08-20T08:20:36Z,1787214036,client,bench-warp,24.09,117133312,1073741824,429529,544415950,483328,0
6,2026-08-20T08:20:36Z,1787214036,server,bench-rustfs,605.41,446791680,2147483648,544561509,429466,2830336,338382848
7,2026-08-20T08:20:37Z,1787214037,client,bench-warp,8.27,103677952,1073741824,484297,623827084,483328,0
7,2026-08-20T08:20:37Z,1787214037,server,bench-rustfs,545.35,442494976,2147483648,628796599,487018,2830336,762937344
8,2026-08-20T08:20:38Z,1787214038,client,bench-warp,16.67,94244864,1073741824,496507,642067340,483328,0
8,2026-08-20T08:20:38Z,1787214038,server,bench-rustfs,491.77,450936832,2147483648,646005921,498490,2830336,768110592
9,2026-08-20T08:20:39Z,1787214039,client,bench-warp,67.22,103157760,1073741824,588257,697194578,483328,0
9,2026-08-20T08:20:39Z,1787214039,server,bench-rustfs,535.30,425652224,2147483648,700923889,591242,2924544,899428352
10,2026-08-20T08:20:40Z,1787214040,client,bench-warp,150.20,160292864,1073741824,741891,885004241,483328,0
10,2026-08-20T08:20:40Z,1787214040,server,bench-rustfs,554.91,497324032,2147483648,892778280,746064,2924544,917950464
11,2026-08-20T08:20:41Z,1787214041,client,bench-warp,42.43,122441728,1073741824,849376,1062439328,483328,0
11,2026-08-20T08:20:41Z,1787214041,server,bench-rustfs,607.48,526098432,2147483648,1078121685,858949,2924544,1261137920
12,2026-08-20T08:20:42Z,1787214042,client,bench-warp,60.99,93573120,1073741824,941641,1203166729,483328,0
12,2026-08-20T08:20:42Z,1787214042,server,bench-rustfs,583.15,528306176,2147483648,1209491643,945970,2924544,1493082112
13,2026-08-20T08:20:43Z,1787214043,client,bench-warp,62.15,103337984,1073741824,999859,1293173400,483328,0
13,2026-08-20T08:20:43Z,1787214043,server,bench-rustfs,580.64,548573184,2147483648,1296315523,1001566,2924544,1507164160
14,2026-08-20T08:20:44Z,1787214044,client,bench-warp,22.40,85159936,1073741824,1045396,1347025292,483328,0
14,2026-08-20T08:20:44Z,1787214044,server,bench-rustfs,579.67,477077504,2147483648,1347027033,1045255,2945024,1656451072
15,2026-08-20T08:20:45Z,1787214045,client,bench-warp,112.27,153219072,1073741824,1192062,1481480362,483328,0
15,2026-08-20T08:20:45Z,1787214045,server,bench-rustfs,537.39,541687808,2147483648,1494282351,1200732,2961408,1797550080
16,2026-08-20T08:20:46Z,1787214046,client,bench-warp,79.11,123088896,1073741824,1307157,1675614352,483328,0
16,2026-08-20T08:20:46Z,1787214046,server,bench-rustfs,526.46,541544448,2147483648,1683531464,1312695,2994176,2042523648
17,2026-08-20T08:20:47Z,1787214047,client,bench-warp,62.54,86437888,1073741824,1391242,1809887399,483328,0
17,2026-08-20T08:20:47Z,1787214047,server,bench-rustfs,411.94,507543552,2147483648,1809889140,1391101,3108864,2149126144
