cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:36:14Z,1787214974,server,bench-seaweedfs,241.24,320110592,2147483648,152386353,224580,327680,118784
3,2026-08-20T08:36:15Z,1787214975,client,bench-warp,201.97,107016192,1073741824,324486,241660341,266240,0
3,2026-08-20T08:36:15Z,1787214975,server,bench-seaweedfs,363.38,519180288,2147483648,244331671,328212,327680,139264
4,2026-08-20T08:36:16Z,1787214976,client,bench-warp,96.20,137768960,1073741824,567544,342492137,266240,0
4,2026-08-20T08:36:16Z,1787214976,server,bench-seaweedfs,582.67,866996224,2147483648,342495653,568596,327680,147456
5,2026-08-20T08:36:17Z,1787214977,client,bench-warp,10.51,130236416,1073741824,1133646,379996057,266240,0
5,2026-08-20T08:36:17Z,1787214977,server,bench-seaweedfs,559.07,1110646784,2147483648,380003983,1134764,327680,147456
6,2026-08-20T08:36:18Z,1787214978,client,bench-warp,5.85,128421888,1073741824,1233084,385881837,266240,0
6,2026-08-20T08:36:18Z,1787214978,server,bench-seaweedfs,572.69,1301405696,2147483648,386871705,1241942,327680,147456
7,2026-08-20T08:36:19Z,1787214979,client,bench-warp,38.55,122138624,1073741824,1565420,459355155,266240,0
7,2026-08-20T08:36:19Z,1787214979,server,bench-seaweedfs,602.56,1553219584,2147483648,459535813,1568782,327680,147456
8,2026-08-20T08:36:20Z,1787214980,client,bench-warp,2.55,119689216,1073741824,1673656,466013437,266240,0
8,2026-08-20T08:36:20Z,1787214980,server,bench-seaweedfs,593.70,1635909632,2147483648,466016887,1674642,327680,147456
9,2026-08-20T08:36:21Z,1787214981,client,bench-warp,0.22,119840768,1073741824,1688194,466752785,266240,0
9,2026-08-20T08:36:21Z,1787214981,server,bench-seaweedfs,601.19,1660571648,2147483648,466756235,1689180,327680,147456
10,2026-08-20T08:36:22Z,1787214982,client,bench-warp,10.96,113512448,1073741824,2074206,501412323,266240,0
10,2026-08-20T08:36:22Z,1787214982,server,bench-seaweedfs,594.03,1871872000,2147483648,502514671,2076116,327680,147456
11,2026-08-20T08:36:23Z,1787214983,client,bench-warp,29.53,104480768,1073741824,2266058,558089457,266240,0
11,2026-08-20T08:36:23Z,1787214983,server,bench-seaweedfs,591.75,2095353856,2147483648,558953539,2277286,327680,100958208
12,2026-08-20T08:36:24Z,1787214984,client,bench-warp,10.38,101076992,1073741824,2640268,583216291,266240,0
12,2026-08-20T08:36:24Z,1787214984,server,bench-seaweedfs,605.38,2103074816,2147483648,586037883,2662398,331776,100958208
13,2026-08-20T08:36:25Z,1787214985,client,bench-warp,25.33,90058752,1073741824,3197650,632685199,266240,0
13,2026-08-20T08:36:25Z,1787214985,server,bench-seaweedfs,592.42,2081722368,2147483648,632714845,3198702,417792,197611520
