cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:24:52Z,1787214292,server,bench-seaweedfs,394.61,360198144,2147483648,196266702,241404,602112,147456
3,2026-08-20T08:24:53Z,1787214293,client,bench-warp,68.13,66228224,1073741824,502804,441915699,339968,0
3,2026-08-20T08:24:53Z,1787214293,server,bench-seaweedfs,596.07,452608000,2147483648,448212385,513918,602112,309657600
4,2026-08-20T08:24:54Z,1787214294,client,bench-warp,73.08,65658880,1073741824,745944,682960519,339968,0
4,2026-08-20T08:24:54Z,1787214294,server,bench-seaweedfs,592.78,469602304,2147483648,682963949,746804,602112,596058112
5,2026-08-20T08:24:55Z,1787214295,client,bench-warp,76.56,64913408,1073741824,996514,946063629,339968,0
5,2026-08-20T08:24:55Z,1787214295,server,bench-seaweedfs,578.52,481177600,2147483648,954250097,1009634,602112,916459520
6,2026-08-20T08:24:56Z,1787214296,client,bench-warp,75.85,65773568,1073741824,1154086,1094883589,339968,0
6,2026-08-20T08:24:56Z,1787214296,server,bench-seaweedfs,586.37,486166528,2147483648,1097494121,1158052,602112,916459520
7,2026-08-20T08:24:57Z,1787214297,client,bench-warp,43.36,65441792,1073741824,1339032,1289836161,339968,0
7,2026-08-20T08:24:57Z,1787214297,server,bench-seaweedfs,600.50,517685248,2147483648,1291943761,1341546,602112,1215885312
8,2026-08-20T08:24:58Z,1787214298,client,bench-warp,44.17,65052672,1073741824,1512718,1447849497,339968,0
8,2026-08-20T08:24:58Z,1787214298,server,bench-seaweedfs,599.46,552673280,2147483648,1449958983,1514332,602112,1215885312
9,2026-08-20T08:24:59Z,1787214299,client,bench-warp,30.19,64917504,1073741824,1644356,1578791583,339968,0
9,2026-08-20T08:24:59Z,1787214299,server,bench-seaweedfs,600.60,579989504,2147483648,1582033381,1648126,602112,1544351744
10,2026-08-20T08:25:00Z,1787214300,client,bench-warp,59.08,67051520,1073741824,1828924,1765090041,339968,0
10,2026-08-20T08:25:00Z,1787214300,server,bench-seaweedfs,585.71,641220608,2147483648,1785827699,1851176,606208,1544351744
11,2026-08-20T08:25:01Z,1787214301,client,bench-warp,72.40,67776512,1073741824,2013756,1959078121,339968,0
11,2026-08-20T08:25:01Z,1787214301,server,bench-seaweedfs,587.42,671678464,2147483648,1967117947,2022442,606208,1847103488
12,2026-08-20T08:25:02Z,1787214302,client,bench-warp,46.11,63627264,1073741824,2150694,2122753873,339968,0
12,2026-08-20T08:25:02Z,1787214302,server,bench-seaweedfs,393.54,657584128,2147483648,2122757197,2151554,606208,1847103488
13,2026-08-20T08:25:03Z,1787214303,client,bench-warp,0.03,63627264,1073741824,2150694,2122753873,339968,0
13,2026-08-20T08:25:03Z,1787214303,server,bench-seaweedfs,2.37,657362944,2147483648,2122757197,2151554,606208,1847103488
14,2026-08-20T08:25:04Z,1787214304,client,bench-warp,0.00,63627264,1073741824,2150694,2122753873,339968,0
14,2026-08-20T08:25:04Z,1787214304,server,bench-seaweedfs,0.20,657358848,2147483648,2122757197,2151554,606208,1847103488
15,2026-08-20T08:25:05Z,1787214305,client,bench-warp,29.39,67596288,1073741824,72808611,2154600939,339968,0
15,2026-08-20T08:25:05Z,1787214305,server,bench-seaweedfs,193.92,669683712,2147483648,2158972799,78015748,37580800,2127937536
16,2026-08-20T08:25:06Z,1787214306,client,bench-warp,113.24,75309056,1073741824,569490371,2321534058,339968,0
16,2026-08-20T08:25:06Z,1787214306,server,bench-seaweedfs,599.06,658178048,2147483648,2325759459,570883371,216551424,2127937536
17,2026-08-20T08:25:07Z,1787214307,client,bench-warp,104.81,68718592,1073741824,1030281646,2476991273,339968,0
17,2026-08-20T08:25:07Z,1787214307,server,bench-seaweedfs,535.03,701358080,2147483648,2481811211,1035537517,359550976,2447507456
18,2026-08-20T08:25:08Z,1787214308,client,bench-warp,119.41,73715712,1073741824,1524351710,2642812266,339968,0
18,2026-08-20T08:25:08Z,1787214308,server,bench-seaweedfs,601.52,689561600,2147483648,2644927791,1533815102,538501120,2447507456
19,2026-08-20T08:25:09Z,1787214309,client,bench-warp,108.14,72695808,1073741824,1966792971,2788702416,339968,0
19,2026-08-20T08:25:09Z,1787214309,server,bench-seaweedfs,568.80,650383360,2147483648,2798790380,1983087970,704958464,2747088896
20,2026-08-20T08:25:10Z,1787214310,client,bench-warp,109.93,70303744,1073741824,2416829673,2938459526,339968,0
20,2026-08-20T08:25:10Z,1787214310,server,bench-seaweedfs,597.63,646578176,2147483648,2938795576,2422085084,883056640,2747088896
21,2026-08-20T08:25:11Z,1787214311,client,bench-warp,104.36,71204864,1073741824,2809329082,3068810515,339968,0
21,2026-08-20T08:25:11Z,1787214311,server,bench-seaweedfs,578.08,687280128,2147483648,3068821496,2813139755,1036394496,2991517696
22,2026-08-20T08:25:12Z,1787214312,client,bench-warp,95.83,73543680,1073741824,3289329229,3229369480,339968,0
22,2026-08-20T08:25:12Z,1787214312,server,bench-seaweedfs,526.20,705777664,2147483648,3232548745,3302994402,1255198720,2991517696
23,2026-08-20T08:25:13Z,1787214313,client,bench-warp,105.76,72785920,1073741824,3705369039,3370045697,339968,0
23,2026-08-20T08:25:13Z,1787214313,server,bench-seaweedfs,585.30,674029568,2147483648,3374289804,3726648091,1454292992,3294277632
24,2026-08-20T08:25:14Z,1787214314,client,bench-warp,108.73,74219520,1073741824,4217556410,3540397167,339968,0
24,2026-08-20T08:25:14Z,1787214314,server,bench-seaweedfs,601.11,734126080,2147483648,3545361652,4232804650,1683554304,3294277632
25,2026-08-20T08:25:15Z,1787214315,client,bench-warp,116.77,72732672,1073741824,4641231969,3684126743,339968,0
25,2026-08-20T08:25:15Z,1787214315,server,bench-seaweedfs,585.70,689463296,2147483648,3685518937,4646358000,1894694912,3589668864
