cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T10:06:23Z,1787220383,server,bench-seaweedfs,0.09,83447808,2147483648,3324,1774,46194688,118784
3,2026-08-20T10:06:24Z,1787220384,server,bench-seaweedfs,303.82,208912384,2147483648,7518269,511110,46473216,147456
4,2026-08-20T10:06:25Z,1787220385,client,bench-warp,72.08,76644352,1073741824,1154638,17397823,917504,0
4,2026-08-20T10:06:25Z,1787220385,server,bench-seaweedfs,409.44,304627712,2147483648,18175816,1208542,46473216,147456
5,2026-08-20T10:06:26Z,1787220386,client,bench-warp,134.60,83062784,1073741824,2728226,41346639,917504,0
5,2026-08-20T10:06:26Z,1787220386,server,bench-seaweedfs,514.72,312070144,2147483648,41830231,2762698,46551040,147456
6,2026-08-20T10:06:27Z,1787220387,client,bench-warp,137.00,88055808,1073741824,5072962,77007287,917504,0
6,2026-08-20T10:06:27Z,1787220387,server,bench-seaweedfs,529.88,315002880,2147483648,77404963,5101126,46551040,147456
7,2026-08-20T10:06:28Z,1787220388,client,bench-warp,103.31,88096768,1073741824,6663202,101113953,917504,0
7,2026-08-20T10:06:28Z,1787220388,server,bench-seaweedfs,408.00,352768000,2147483648,101117277,6664062,46587904,176128
8,2026-08-20T10:06:29Z,1787220389,client,bench-warp,0.05,88096768,1073741824,6663202,101113953,917504,0
8,2026-08-20T10:06:29Z,1787220389,server,bench-seaweedfs,0.10,352698368,2147483648,101117277,6664062,46587904,176128
9,2026-08-20T10:06:30Z,1787220390,client,bench-warp,0.00,88096768,1073741824,6663202,101113953,917504,0
9,2026-08-20T10:06:30Z,1787220390,server,bench-seaweedfs,2.58,352702464,2147483648,101117277,6664062,46587904,176128
10,2026-08-20T10:06:31Z,1787220391,client,bench-warp,37.48,74719232,1073741824,9281679,102632224,917504,0
10,2026-08-20T10:06:31Z,1787220391,server,bench-seaweedfs,157.89,356306944,2147483648,102874900,9701635,46587904,176128
11,2026-08-20T10:06:32Z,1787220392,client,bench-warp,143.56,87339008,1073741824,36879699,118002742,917504,0
11,2026-08-20T10:06:32Z,1787220392,server,bench-seaweedfs,497.77,361263104,2147483648,118160849,37226229,46587904,176128
12,2026-08-20T10:06:33Z,1787220393,client,bench-warp,154.23,95195136,1073741824,68766460,135704665,917504,0
12,2026-08-20T10:06:33Z,1787220393,server,bench-seaweedfs,520.43,360960000,2147483648,135798030,68934479,46587904,176128
13,2026-08-20T10:06:34Z,1787220394,client,bench-warp,153.98,105172992,1073741824,100996310,153683748,917504,0
13,2026-08-20T10:06:34Z,1787220394,server,bench-seaweedfs,524.88,353673216,2147483648,154097258,101802858,46587904,176128
14,2026-08-20T10:06:35Z,1787220395,client,bench-warp,160.05,116482048,1073741824,130706638,170240492,917504,0
14,2026-08-20T10:06:35Z,1787220395,server,bench-seaweedfs,526.56,353771520,2147483648,170413440,131005383,46587904,176128
15,2026-08-20T10:06:36Z,1787220396,client,bench-warp,159.69,134172672,1073741824,155422215,183967091,917504,0
15,2026-08-20T10:06:36Z,1787220396,server,bench-seaweedfs,524.03,353857536,2147483648,184098506,155611574,46641152,176128
16,2026-08-20T10:06:37Z,1787220397,client,bench-warp,149.63,132243456,1073741824,178769110,196921406,917504,0
16,2026-08-20T10:06:37Z,1787220397,server,bench-seaweedfs,530.09,372817920,2147483648,196991169,178866416,46641152,176128
17,2026-08-20T10:06:38Z,1787220398,client,bench-warp,153.43,143765504,1073741824,200382945,208936481,917504,0
17,2026-08-20T10:06:38Z,1787220398,server,bench-seaweedfs,485.44,370921472,2147483648,209229419,200803043,46641152,176128
18,2026-08-20T10:06:39Z,1787220399,client,bench-warp,161.25,143142912,1073741824,220817702,220327771,917504,0
18,2026-08-20T10:06:39Z,1787220399,server,bench-seaweedfs,534.37,371535872,2147483648,220467177,221025639,46641152,148123648
19,2026-08-20T10:06:40Z,1787220400,client,bench-warp,159.10,171741184,1073741824,240839820,231484611,917504,0
19,2026-08-20T10:06:40Z,1787220400,server,bench-seaweedfs,519.89,371568640,2147483648,231509055,240956925,46641152,148123648
20,2026-08-20T10:06:41Z,1787220401,client,bench-warp,160.97,158261248,1073741824,261663859,243033980,917504,0
20,2026-08-20T10:06:41Z,1787220401,server,bench-seaweedfs,549.91,374177792,2147483648,243398119,262185666,46641152,148123648
21,2026-08-20T10:06:42Z,1787220402,client,bench-warp,159.98,163270656,1073741824,279553393,252969986,917504,0
