cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T07:57:06Z,1787212626,server,bench-silo,325.78,267100160,2147483648,81770023,135033,0,64458752
3,2026-08-20T07:57:07Z,1787212627,client,bench-warp,104.52,64319488,1073741824,315545,202721772,98304,0
3,2026-08-20T07:57:07Z,1787212627,server,bench-silo,525.14,284512256,2147483648,209409373,324963,0,202874880
4,2026-08-20T07:57:08Z,1787212628,client,bench-warp,102.29,69898240,1073741824,493083,315031112,98304,0
4,2026-08-20T07:57:08Z,1787212628,server,bench-silo,513.45,312651776,2147483648,320364849,499065,0,299077632
5,2026-08-20T07:57:09Z,1787212629,client,bench-warp,95.31,63909888,1073741824,615759,393636879,98304,0
5,2026-08-20T07:57:09Z,1787212629,server,bench-silo,598.62,326815744,2147483648,395584886,619569,0,380411904
6,2026-08-20T07:57:10Z,1787212630,client,bench-warp,86.27,62533632,1073741824,744423,463057902,98304,0
6,2026-08-20T07:57:10Z,1787212630,server,bench-silo,556.75,349376512,2147483648,464762281,749319,0,459718656
7,2026-08-20T07:57:11Z,1787212631,client,bench-warp,92.26,67870720,1073741824,857811,538978782,98304,0
7,2026-08-20T07:57:11Z,1787212631,server,bench-silo,567.66,367775744,2147483648,539787690,859845,0,519946240
8,2026-08-20T07:57:12Z,1787212632,client,bench-warp,64.73,65929216,1073741824,976581,611326727,98304,0
8,2026-08-20T07:57:12Z,1787212632,server,bench-silo,607.11,383733760,2147483648,615231937,984423,0,599203840
9,2026-08-20T07:57:13Z,1787212633,client,bench-warp,36.38,62021632,1073741824,1098843,684287631,98304,0
9,2026-08-20T07:57:13Z,1787212633,server,bench-silo,590.84,402497536,2147483648,688717952,1104399,0,660500480
10,2026-08-20T07:57:14Z,1787212634,client,bench-warp,34.76,66146304,1073741824,1183485,730404548,98304,0
10,2026-08-20T07:57:14Z,1787212634,server,bench-silo,586.87,415358976,2147483648,734328638,1188987,0,718598144
11,2026-08-20T07:57:15Z,1787212635,client,bench-warp,80.21,64446464,1073741824,1211463,741120488,98304,0
11,2026-08-20T07:57:15Z,1787212635,server,bench-silo,585.52,418349056,2147483648,744876626,1216971,0,738689024
12,2026-08-20T07:57:16Z,1787212636,client,bench-warp,62.69,67448832,1073741824,1295787,791099034,98304,0
12,2026-08-20T07:57:16Z,1787212636,server,bench-silo,599.41,427507712,2147483648,798685814,1311327,0,776736768
13,2026-08-20T07:57:17Z,1787212637,client,bench-warp,96.25,70684672,1073741824,1333665,810346672,98304,0
13,2026-08-20T07:57:17Z,1787212637,server,bench-silo,464.47,433745920,2147483648,812989203,1338969,0,799952896
14,2026-08-20T07:57:18Z,1787212638,client,bench-warp,69.58,67760128,1073741824,1428987,861964589,98304,0
14,2026-08-20T07:57:18Z,1787212638,server,bench-silo,586.67,444370944,2147483648,864134602,1436067,0,852811776
15,2026-08-20T07:57:19Z,1787212639,client,bench-warp,72.95,70602752,1073741824,1539609,921084353,98304,0
15,2026-08-20T07:57:19Z,1787212639,server,bench-silo,568.74,461328384,2147483648,925864226,1548705,0,906711040
16,2026-08-20T07:57:20Z,1787212640,client,bench-warp,61.34,71380992,1073741824,1614165,963685395,98304,0
16,2026-08-20T07:57:20Z,1787212640,server,bench-silo,580.40,468865024,2147483648,963725382,1614657,0,939495424
17,2026-08-20T07:57:21Z,1787212641,client,bench-warp,40.80,67768320,1073741824,1734375,1033254347,98304,0
17,2026-08-20T07:57:21Z,1787212641,server,bench-silo,553.77,483840000,2147483648,1033256244,1734735,0,1023967232
18,2026-08-20T07:57:22Z,1787212642,client,bench-warp,86.02,69033984,1073741824,1813437,1068282890,98304,0
18,2026-08-20T07:57:22Z,1787212642,server,bench-silo,484.60,496099328,2147483648,1073098297,1822317,0,1063129088
19,2026-08-20T07:57:23Z,1787212643,client,bench-warp,102.29,72736768,1073741824,1880631,1107331829,98304,0
19,2026-08-20T07:57:23Z,1787212643,server,bench-silo,549.35,508567552,2147483648,1110438127,1884879,0,1092718592
20,2026-08-20T07:57:24Z,1787212644,client,bench-warp,119.08,69828608,1073741824,1911015,1123359468,98304,0
20,2026-08-20T07:57:24Z,1787212644,server,bench-silo,560.31,510722048,2147483648,1129495682,1925451,0,1115963392
21,2026-08-20T07:57:25Z,1787212645,client,bench-warp,77.05,69558272,1073741824,1976109,1157668616,98304,0
21,2026-08-20T07:57:25Z,1787212645,server,bench-silo,505.01,514727936,2147483648,1161770246,1986153,0,1150832640
22,2026-08-20T07:57:26Z,1787212646,client,bench-warp,108.92,72376320,1073741824,2058225,1201983684,98304,0
22,2026-08-20T07:57:26Z,1787212646,server,bench-silo,522.49,527642624,2147483648,1208833106,2068917,0,1195200512
23,2026-08-20T07:57:27Z,1787212647,client,bench-warp,105.42,70905856,1073741824,2117367,1235245120,98304,0
23,2026-08-20T07:57:27Z,1787212647,server,bench-silo,540.52,531263488,2147483648,1239363922,2129091,0,1229033472
24,2026-08-20T07:57:28Z,1787212648,client,bench-warp,69.37,71540736,1073741824,2175315,1263573798,98304,0
24,2026-08-20T07:57:28Z,1787212648,server,bench-silo,498.42,539418624,2147483648,1266369489,2181993,0,1251225600
25,2026-08-20T07:57:29Z,1787212649,client,bench-warp,125.02,71835648,1073741824,2202897,1277955457,98304,0
25,2026-08-20T07:57:29Z,1787212649,server,bench-silo,600.90,541122560,2147483648,1279996101,2206221,0,1260744704
26,2026-08-20T07:57:30Z,1787212650,client,bench-warp,34.48,73101312,1073741824,2236857,1294128344,98304,0
26,2026-08-20T07:57:30Z,1787212650,server,bench-silo,551.86,546918400,2147483648,1298528409,2246097,0,1285054464
27,2026-08-20T07:57:31Z,1787212651,client,bench-warp,43.62,74444800,1073741824,2319807,1335649963,98304,0
27,2026-08-20T07:57:31Z,1787212651,server,bench-silo,503.25,556736512,2147483648,1342110672,2331081,0,1330466816
28,2026-08-20T07:57:32Z,1787212652,client,bench-warp,84.77,74698752,1073741824,2370519,1361951420,98304,0
28,2026-08-20T07:57:32Z,1787212652,server,bench-silo,490.16,564502528,2147483648,1362695569,2373765,0,1354772480
29,2026-08-20T07:57:33Z,1787212653,client,bench-warp,62.44,70963200,1073741824,2413407,1384620045,98304,0
29,2026-08-20T07:57:33Z,1787212653,server,bench-silo,593.87,566050816,2147483648,1388404349,2418543,0,1376964608
30,2026-08-20T07:57:34Z,1787212654,client,bench-warp,28.82,69644288,1073741824,2456145,1407073567,98304,0
30,2026-08-20T07:57:34Z,1787212654,server,bench-silo,582.80,572370944,2147483648,1409029304,2462871,0,1392840704
31,2026-08-20T07:57:35Z,1787212655,client,bench-warp,71.48,66998272,1073741824,2551599,1455404048,98304,0
