cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:07:08Z,1787213228,server,bench-silo,210.75,405708800,2147483648,112381073,164283,17408000,51347456
3,2026-08-20T08:07:09Z,1787213229,client,bench-warp,58.15,141955072,1073741824,301233,296404768,4096,0
3,2026-08-20T08:07:09Z,1787213229,server,bench-silo,528.49,747094016,2147483648,298427853,302991,17408000,229752832
4,2026-08-20T08:07:10Z,1787213230,client,bench-warp,24.13,129781760,1073741824,355119,358788475,4096,0
4,2026-08-20T08:07:10Z,1787213230,server,bench-silo,546.71,858144768,2147483648,362328558,358395,17408000,376893440
5,2026-08-20T08:07:11Z,1787213231,client,bench-warp,42.16,123645952,1073741824,434898,446469242,4096,0
5,2026-08-20T08:07:11Z,1787213231,server,bench-silo,501.31,943869952,2147483648,450890966,441067,17408000,529432576
6,2026-08-20T08:07:12Z,1787213232,client,bench-warp,102.54,109297664,1073741824,708024,763794306,4096,0
6,2026-08-20T08:07:12Z,1787213232,server,bench-silo,455.91,1014390784,2147483648,836134003,758976,17408000,1031995392
7,2026-08-20T08:07:13Z,1787213233,client,bench-warp,86.47,105955328,1073741824,925712,987559783,4096,0
7,2026-08-20T08:07:13Z,1787213233,server,bench-silo,402.63,1048182784,2147483648,995893289,936883,17408000,1266315264
8,2026-08-20T08:07:14Z,1787213234,client,bench-warp,152.90,130863104,1073741824,1129531,1207363204,4096,0
8,2026-08-20T08:07:14Z,1787213234,server,bench-silo,450.24,1087361024,2147483648,1212638027,1133665,17408000,1529360384
9,2026-08-20T08:07:15Z,1787213235,client,bench-warp,102.61,111325184,1073741824,1255861,1378652274,4096,0
9,2026-08-20T08:07:15Z,1787213235,server,bench-silo,486.24,1100439552,2147483648,1381782901,1258159,17412096,1748758528
10,2026-08-20T08:07:16Z,1787213236,client,bench-warp,71.05,73293824,1073741824,1381003,1554554982,4096,0
10,2026-08-20T08:07:16Z,1787213236,server,bench-silo,331.14,1111953408,2147483648,1554556879,1381363,17428480,2013749248
11,2026-08-20T08:07:17Z,1787213237,client,bench-warp,107.62,144551936,1073741824,1600400,1699449786,4096,0
11,2026-08-20T08:07:17Z,1787213237,server,bench-silo,394.47,1164922880,2147483648,1710543115,1609761,17432576,2155409408
12,2026-08-20T08:07:18Z,1787213238,client,bench-warp,169.69,147857408,1073741824,1750851,1884580518,4096,0
12,2026-08-20T08:07:18Z,1787213238,server,bench-silo,495.06,1182388224,2147483648,1891332659,1756887,17440768,2384224256
13,2026-08-20T08:07:19Z,1787213239,client,bench-warp,58.66,129724416,1073741824,1889709,2065532942,4096,0
13,2026-08-20T08:07:19Z,1787213239,server,bench-silo,469.57,1198407680,2147483648,2077718827,1899987,17457152,2684694528
14,2026-08-20T08:07:20Z,1787213240,client,bench-warp,42.53,76419072,1073741824,2014748,2230785089,4096,0
14,2026-08-20T08:07:20Z,1787213240,server,bench-silo,336.12,1203822592,2147483648,2232125454,2023632,17469440,2972889088
15,2026-08-20T08:07:21Z,1787213241,client,bench-warp,181.65,154533888,1073741824,2314449,2481465678,4096,0
15,2026-08-20T08:07:21Z,1787213241,server,bench-silo,463.11,1265979392,2147483648,2486792261,2318847,17481728,3184156672
16,2026-08-20T08:07:22Z,1787213242,client,bench-warp,66.92,147329024,1073741824,2403105,2595740974,4096,0
16,2026-08-20T08:07:22Z,1787213242,server,bench-silo,522.89,1272954880,2147483648,2606705379,2411511,17485824,3365625856
17,2026-08-20T08:07:23Z,1787213243,client,bench-warp,97.92,119746560,1073741824,2572497,2815532229,4096,0
17,2026-08-20T08:07:23Z,1787213243,server,bench-silo,480.22,1287700480,2147483648,2824801923,2580821,17502208,3705626624
18,2026-08-20T08:07:24Z,1787213244,client,bench-warp,86.75,122531840,1073741824,2696680,2934212825,4096,0
18,2026-08-20T08:07:24Z,1787213244,server,bench-silo,474.04,1306075136,2147483648,2939721190,2705951,17506304,3879165952
19,2026-08-20T08:07:25Z,1787213245,client,bench-warp,95.06,153165824,1073741824,2886938,3113238987,4096,0
19,2026-08-20T08:07:25Z,1787213245,server,bench-silo,497.67,1342029824,2147483648,3116429400,2890196,17514496,4060426240
20,2026-08-20T08:07:26Z,1787213246,client,bench-warp,76.28,141291520,1073741824,3028287,3294812198,4096,0
20,2026-08-20T08:07:26Z,1787213246,server,bench-silo,523.52,1348366336,2147483648,3303598441,3035283,17522688,4293230592
21,2026-08-20T08:07:27Z,1787213247,client,bench-warp,63.91,88272896,1073741824,3203102,3520907126,4096,0
21,2026-08-20T08:07:27Z,1787213247,server,bench-silo,465.63,1341059072,2147483648,3524656720,3209594,17539072,4665782272
22,2026-08-20T08:07:28Z,1787213248,client,bench-warp,158.17,167571456,1073741824,3388913,3683106542,4096,0
22,2026-08-20T08:07:28Z,1787213248,server,bench-silo,455.05,1355681792,2147483648,3691303067,3396754,17547264,4836253696
23,2026-08-20T08:07:29Z,1787213249,client,bench-warp,78.09,154349568,1073741824,3584975,3901768716,4096,0
23,2026-08-20T08:07:29Z,1787213249,server,bench-silo,518.88,1356926976,2147483648,3910746267,3592187,17551360,5120917504
24,2026-08-20T08:07:30Z,1787213250,client,bench-warp,102.16,149340160,1073741824,3676851,4018300180,4096,0
24,2026-08-20T08:07:30Z,1787213250,server,bench-silo,517.70,1357217792,2147483648,4032383733,3689819,17551360,5278416896
25,2026-08-20T08:07:31Z,1787213251,client,bench-warp,61.26,118493184,1073741824,3786778,4162988382,4096,0
25,2026-08-20T08:07:31Z,1787213251,server,bench-silo,474.68,1349840896,2147483648,4170806639,3792706,17551360,5498609664
26,2026-08-20T08:07:32Z,1787213252,client,bench-warp,73.15,109461504,1073741824,4019164,4388514874,4096,0
26,2026-08-20T08:07:32Z,1787213252,server,bench-silo,467.51,1356083200,2147483648,4394984375,4026259,17551360,5786087424
27,2026-08-20T08:07:33Z,1787213253,client,bench-warp,38.23,113250304,1073741824,4062560,4436723802,4096,0
27,2026-08-20T08:07:33Z,1787213253,server,bench-silo,516.31,1354305536,2147483648,4439558797,4065320,17551360,5838688256
28,2026-08-20T08:07:34Z,1787213254,client,bench-warp,36.71,91516928,1073741824,4218608,4644780218,4096,0
28,2026-08-20T08:07:34Z,1787213254,server,bench-silo,504.09,1349468160,2147483648,4646104423,4219760,17551360,6142861312
29,2026-08-20T08:07:35Z,1787213255,client,bench-warp,10.29,68005888,1073741824,4302509,4712938078,4096,0
29,2026-08-20T08:07:35Z,1787213255,server,bench-silo,223.30,1344933888,2147483648,4712939975,4302869,17551360,6283182080
30,2026-08-20T08:07:36Z,1787213256,client,bench-warp,0.00,68005888,1073741824,4302707,4712938276,4096,0
30,2026-08-20T08:07:36Z,1787213256,server,bench-silo,61.65,1344733184,2147483648,4712940173,4303067,17551360,6283182080
31,2026-08-20T08:07:37Z,1787213257,client,bench-warp,0.00,68005888,1073741824,4303037,4712938606,4096,0
31,2026-08-20T08:07:37Z,1787213257,server,bench-silo,0.32,1344724992,2147483648,4712940503,4303397,17551360,6283182080
32,2026-08-20T08:07:38Z,1787213258,client,bench-warp,4.52,68034560,1073741824,20065616,4712979444,4096,0
32,2026-08-20T08:07:38Z,1787213258,server,bench-silo,47.42,1346142208,2147483648,4712984245,22778917,78970880,6283182080
33,2026-08-20T08:07:39Z,1787213259,client,bench-warp,12.73,68833280,1073741824,156257852,4713158760,4096,0
33,2026-08-20T08:07:39Z,1787213259,server,bench-silo,42.89,1347170304,2147483648,4713168181,163565574,232382464,6283182080
34,2026-08-20T08:07:40Z,1787213260,client,bench-warp,16.36,68263936,1073741824,396218552,4713406854,4096,0
34,2026-08-20T08:07:40Z,1787213260,server,bench-silo,45.90,1347063808,2147483648,4713410269,397664080,449781760,6283182080
35,2026-08-20T08:07:41Z,1787213261,client,bench-warp,27.88,68161536,1073741824,797398247,4713742464,4096,0
35,2026-08-20T08:07:41Z,1787213261,server,bench-silo,242.02,1347616768,2147483648,4713751621,805799953,786321408,6283182080
36,2026-08-20T08:07:42Z,1787213262,client,bench-warp,12.50,68235264,1073741824,944265903,4713878762,4096,0
36,2026-08-20T08:07:42Z,1787213262,server,bench-silo,57.79,1347280896,2147483648,4713884883,948685751,916107264,6283182080
37,2026-08-20T08:07:43Z,1787213263,client,bench-warp,82.97,69640192,1073741824,1811410375,4714480659,4096,0
37,2026-08-20T08:07:43Z,1787213263,server,bench-silo,441.54,1350033408,2147483648,4714522459,1858172379,1653161984,6283182080
38,2026-08-20T08:07:44Z,1787213264,client,bench-warp,66.93,69320704,1073741824,2334586285,4714877220,4096,0
38,2026-08-20T08:07:44Z,1787213264,server,bench-silo,348.46,1366933504,2147483648,4714896099,2356167678,2113789952,6283182080
39,2026-08-20T08:07:45Z,1787213265,client,bench-warp,82.77,68358144,1073741824,3247382277,4715487640,4096,0
39,2026-08-20T08:07:45Z,1787213265,server,bench-silo,432.16,1371512832,2147483648,4715512433,3274074013,3273871360,6283182080
40,2026-08-20T08:07:46Z,1787213266,client,bench-warp,86.34,68833280,1073741824,4119945138,4716088268,4096,0
40,2026-08-20T08:07:46Z,1787213266,server,bench-silo,418.71,1375662080,2147483648,4716103188,4136289904,4513157120,6283182080
41,2026-08-20T08:07:47Z,1787213267,client,bench-warp,43.83,69705728,1073741824,4511028924,4716384977,4096,0
41,2026-08-20T08:07:47Z,1787213267,server,bench-silo,290.96,1415610368,2147483648,4716399237,4525541382,4888788992,6283182080
42,2026-08-20T08:07:48Z,1787213268,client,bench-warp,73.27,68763648,1073741824,5163067491,4716843457,4096,0
42,2026-08-20T08:07:48Z,1787213268,server,bench-silo,423.27,1417990144,2147483648,4716863189,5193121322,5453586432,6283182080
43,2026-08-20T08:07:49Z,1787213269,client,bench-warp,119.60,81207296,1073741824,5786775722,4717274126,4096,0
