cycle,ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2,2026-08-20T08:02:41Z,1787212961,server,bench-silo,26.57,104501248,2147483648,1939,1274,18321408,98304
3,2026-08-20T08:02:42Z,1787212962,client,bench-warp,68.45,46039040,1073741824,94877,726190,4096,0
3,2026-08-20T08:02:42Z,1787212962,server,bench-silo,257.20,147673088,2147483648,753326,101125,18321408,2289664
4,2026-08-20T08:02:43Z,1787212963,client,bench-warp,65.67,54538240,1073741824,231595,1639677,4096,0
4,2026-08-20T08:02:43Z,1787212963,server,bench-silo,405.59,195219456,2147483648,1727370,244153,18321408,5394432
5,2026-08-20T08:02:44Z,1787212964,client,bench-warp,32.89,56709120,1073741824,407257,2844584,4096,0
5,2026-08-20T08:02:44Z,1787212964,server,bench-silo,352.78,241860608,2147483648,2846481,407683,18321408,9019392
6,2026-08-20T08:02:45Z,1787212965,client,bench-warp,48.29,56721408,1073741824,574597,3978242,4096,0
6,2026-08-20T08:02:45Z,1787212965,server,bench-silo,388.99,259997696,2147483648,4046215,584281,18321408,12963840
7,2026-08-20T08:02:46Z,1787212966,client,bench-warp,35.72,57323520,1073741824,790579,5469617,4096,0
7,2026-08-20T08:02:46Z,1787212966,server,bench-silo,394.93,263835648,2147483648,5506209,795019,18321408,17739776
8,2026-08-20T08:02:47Z,1787212967,client,bench-warp,31.40,57430016,1073741824,961621,6642606,4096,0
8,2026-08-20T08:02:47Z,1787212967,server,bench-silo,458.93,281657344,2147483648,6664691,964849,18321408,21377024
9,2026-08-20T08:02:48Z,1787212968,client,bench-warp,31.33,57466880,1073741824,1136815,7843238,4096,0
9,2026-08-20T08:02:48Z,1787212968,server,bench-silo,355.19,339017728,2147483648,7875415,1141675,18321408,25366528
10,2026-08-20T08:02:49Z,1787212969,client,bench-warp,42.75,59211776,1073741824,1285687,8855232,4096,0
10,2026-08-20T08:02:49Z,1787212969,server,bench-silo,383.63,353398784,2147483648,8942929,1298731,18321408,28749824
11,2026-08-20T08:02:50Z,1787212970,client,bench-warp,31.46,60801024,1073741824,1558795,10764148,4096,0
11,2026-08-20T08:02:50Z,1787212970,server,bench-silo,350.39,358817792,2147483648,10791279,1563457,18321408,34807808
12,2026-08-20T08:02:51Z,1787212971,client,bench-warp,34.03,60833792,1073741824,1844857,12759309,4096,0
12,2026-08-20T08:02:51Z,1787212971,server,bench-silo,368.63,366821376,2147483648,12796548,1850533,18321408,41238528
13,2026-08-20T08:02:52Z,1787212972,client,bench-warp,37.69,61112320,1073741824,2132605,14768122,4096,0
13,2026-08-20T08:02:52Z,1787212972,server,bench-silo,374.67,372502528,2147483648,14825690,2140963,18321408,47833088
14,2026-08-20T08:02:53Z,1787212973,client,bench-warp,53.08,60854272,1073741824,2324827,16159058,4096,0
14,2026-08-20T08:02:53Z,1787212973,server,bench-silo,360.57,375623680,2147483648,16191242,2329159,18321408,52109312
15,2026-08-20T08:02:54Z,1787212974,client,bench-warp,24.44,61452288,1073741824,2588359,18141627,4096,0
15,2026-08-20T08:02:54Z,1787212974,server,bench-silo,370.47,381218816,2147483648,18189115,2595349,18321408,58580992
16,2026-08-20T08:02:55Z,1787212975,client,bench-warp,33.54,61186048,1073741824,2775019,19435258,4096,0
16,2026-08-20T08:02:55Z,1787212975,server,bench-silo,394.38,385409024,2147483648,19462556,2779009,18321408,62816256
17,2026-08-20T08:02:56Z,1787212976,client,bench-warp,19.77,61702144,1073741824,2971933,20814840,4096,0
17,2026-08-20T08:02:56Z,1787212976,server,bench-silo,223.66,388345856,2147483648,20868933,2979769,18321408,67334144
18,2026-08-20T08:02:57Z,1787212977,client,bench-warp,33.99,61833216,1073741824,3291793,23081768,4096,0
18,2026-08-20T08:02:57Z,1787212977,server,bench-silo,377.33,393322496,2147483648,23149298,3303007,18321408,74702848
19,2026-08-20T08:02:58Z,1787212978,client,bench-warp,30.09,61857792,1073741824,3584671,25121572,4096,0
19,2026-08-20T08:02:58Z,1787212978,server,bench-silo,351.77,399192064,2147483648,25143811,3588109,18575360,81096704
20,2026-08-20T08:02:59Z,1787212979,client,bench-warp,26.28,62038016,1073741824,3858937,27034335,4096,0
20,2026-08-20T08:02:59Z,1787212979,server,bench-silo,403.34,403320832,2147483648,27076616,3865033,19152896,87490560
21,2026-08-20T08:03:00Z,1787212980,client,bench-warp,32.71,62078976,1073741824,4130407,28921487,4096,0
21,2026-08-20T08:03:00Z,1787212980,server,bench-silo,363.42,408649728,2147483648,28948777,4134463,19615744,93405184
22,2026-08-20T08:03:01Z,1787212981,client,bench-warp,29.74,61898752,1073741824,4386979,30712860,4096,0
22,2026-08-20T08:03:01Z,1787212981,server,bench-silo,327.49,412282880,2147483648,30765237,4394839,20656128,100843520
